report_id,element_type,element_id,label,order,alignment,width
PUB-DEMOGRAPHICS,TITLE,TITLE_1,Table 14-1.03 Summary of Demographic and Baseline Characteristics - Intent-to-Treat Analysis Set,1,,
PUB-DEMOGRAPHICS,COLUMN_HEADER,LABEL,Parameter,10,left,6
PUB-DEMOGRAPHICS,COLUMN_HEADER,Placebo_n,Placebo,21,center,
PUB-DEMOGRAPHICS,COLUMN_HEADER,Placebo_pct,(%),22,center,
PUB-DEMOGRAPHICS,COLUMN_HEADER,Xanomeline_High_Dose_n,Xanomeline High Dose,23,center,
PUB-DEMOGRAPHICS,COLUMN_HEADER,Xanomeline_High_Dose_pct,(%),24,center,
PUB-DEMOGRAPHICS,COLUMN_HEADER,Xanomeline_Low_Dose_n,Xanomeline Low Dose,25,center,
PUB-DEMOGRAPHICS,COLUMN_HEADER,Xanomeline_Low_Dose_pct,(%),26,center,
