Parameter | Placebo | (%) | Total | (%) | Xanomeline High Dose | (%) | Xanomeline Low Dose | (%)
APPLICATION SITE REACTION | 1 | (1.2) | 2 | (0.8) | 1 | (1.2) | 0 | (0.0)
APPLICATION SITE SWELLING | 0 | (0.0) | 3 | (1.2) | 2 | (2.4) | 1 | (1.2)
APPLICATION SITE URTICARIA | 0 | (0.0) | 3 | (1.2) | 1 | (1.2) | 2 | (2.4)
APPLICATION SITE VESICLES | 1 | (1.2) | 11 | (4.3) | 6 | (7.1) | 4 | (4.8)
APPLICATION SITE WARMTH | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
ASTHENIA | 1 | (1.2) | 2 | (0.8) | 1 | (1.2) | 0 | (0.0)
CHEST DISCOMFORT | 0 | (0.0) | 2 | (0.8) | 2 | (2.4) | 0 | (0.0)
CHEST PAIN | 0 | (0.0) | 2 | (0.8) | 2 | (2.4) | 0 | (0.0)
CHILLS | 1 | (1.2) | 3 | (1.2) | 1 | (1.2) | 1 | (1.2)
FATIGUE | 1 | (1.2) | 11 | (4.3) | 5 | (6.0) | 5 | (6.0)
FEELING ABNORMAL | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
FEELING COLD | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
INFLAMMATION | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
MALAISE | 0 | (0.0) | 3 | (1.2) | 2 | (2.4) | 1 | (1.2)
OEDEMA | 0 | (0.0) | 2 | (0.8) | 0 | (0.0) | 2 | (2.4)
OEDEMA PERIPHERAL | 2 | (2.3) | 5 | (2.0) | 2 | (2.4) | 1 | (1.2)
PAIN | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
PYREXIA | 2 | (2.3) | 3 | (1.2) | 1 | (1.2) | 0 | (0.0)
SECRETION DISCHARGE | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
SUDDEN DEATH | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
SWELLING | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
ULCER | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
